Type,move_speed,move_time,move_angle,move_acceleration
FALL,0,10.67,18.67,5
RUN,4.5,22,31,8
RUN,6,19,30,10
RUN,3.5,24,35,10
RUN,8,25.67,37.67,10
OTHER_ACTION,1,14.33,21.33,6
OTHER_ACTION,0.5,17.33,25.33,7
OTHER_ACTION,1,15,22,7
OTHER_ACTION,1,20.33,28.33,7
OTHER_ACTION,1,18,25,7
FALL,0,8.67,14.67,4
FALL,0,11,15,3
FALL,0,7,11,3
FALL,1,6.67,11.67,4
OTHER_ACTION,0.5,18.67,25.67,7
OTHER_ACTION,1,19,26,7
OTHER_ACTION,1.5,18.67,25.67,7
OTHER_ACTION,2,11.33,21.33,9
OTHER_ACTION,2,17.67,26.67,9
RUN,6,27.33,40.33,10
RUN,6,32.67,45.67,10
RUN,5,12.33,24.33,10
RUN,2.5,14.33,24.33,9
RUN,4,23.33,35.33,9
RUN,5,19.33,30.33,10
FALL,0,4.33,8.33,4
FALL,0,4.67,6.67,2
FALL,0,6.33,7.33,1
FALL,0,8,11,2
FALL,0.5,5.67,6.67,1
FALL,0,7,9,2
FALL,0,6.67,8.67,2
FALL,0,4,8,4
FALL,0,10.33,14.33,4
FALL,0,8.33,14.33,6
FALL,0,8.33,12.33,4
FALL,0,7.33,12.33,5
FALL,0,5.67,10.67,5
FALL,0,6.67,9.67,3
FALL,0,3.33,3.33,0
FALL,0,2.67,6.67,4
FALL,0,1,1,0
FALL,0,4,8,4
FALL,0,4,8,3
FALL,0,5,8,3
FALL,0,4,6,2
FALL,0,4.67,6.67,2
WALK,0,2,3,1
RUN,4,21.33,34.33,10
RUN,5,22.67,36.67,10
RUN,4.5,21.33,36.33,10
RUN,8,42.67,57.67,10
OTHER_ACTION,2.5,17,27,9
OTHER_ACTION,3,22,32,10
FALL,0,6,9,2
FALL,0,5.67,11.67,4
FALL,1,4.33,8.33,4
FALL,0,3,8,4
OTHER_ACTION,1,11.33,16.33,4
OTHER_ACTION,0.5,11.67,18.67,5
