Date,Speed,Accelerate,Angle
   2:29:00,20,0,42.16
   3:53:00,2,0,20.8
   3:56:00,10,0,41.4
   3:58:00,10,0,2.85
   4:02:00,5,0,61.1
   4:05:00,10,0,30.5
   4:14:00,4,0,37.4
   4:15:00,10,0,164.7
   4:25:00,10,0,256.26
   4:37:00,10,0,12.3
   4:39:00,10,0,86.4
   4:40:00,10,0,94.75
   4:41:00,10,0,84.75
   4:47:00,2,0,159.8
   5:09:00,10,0,177.4
   5:12:00,5,0,38.8
   5:13:00,5,0,35
   6:33:00,1.5,1.17562447,73.68
   6:33:00,2,1.17562447,71.68
   6:34:00,4,1.17562447,31.3
   6:35:00,2.4,1.17562447,69.05
   6:35:00,3.5,1.17562447,158.9
   6:36:00,3,1.03941,93.2
   6:36:00,2,0.983367,91.2
   6:39:00,1,0.937913,87.7
   6:40:00,0.5,0.850008,101.2
   6:40:00,2.4,1.25048,70.46
   6:40:00,1.5,1.34053,68.96
   6:40:00,2.5,1.17562447,23.8
   6:40:00,1.2,1.33053,86.5
   6:41:00,3,1.30439,1.5
   6:41:00,1.8,1.17562447,61.3
   6:43:00,0.5,1.17562447,100.7
   6:43:00,2.5,1.17562447,94.3
   6:44:00,1.5,1.43716,155.3
   6:45:00,1.2,1.4922,82.48
   6:45:00,1.2,1.36014,81.28
   6:45:00,1,1.27245,188.4
   6:45:00,2.6,1.2899,189.4
   6:45:00,2.6,1.35009,140.6
   6:45:00,2.5,1.36721,95.5
   6:45:00,1.5,1.34044,94
   6:45:00,2.6,1.26732,13.7
   6:45:00,2.6,1.34287,87.8
   6:45:00,2.6,1.38457,40.7
   6:45:00,3.4,1.48206,151.9
   6:46:00,1,1.35547,187.4
   6:46:00,0.6,1.36418,186.8
   6:46:00,2,1.09437,11.7
   6:46:00,0.6,1.17562447,11.1
   6:47:00,1,1.17562447,56.65
   6:47:00,2,1.17562447,54.65
   6:47:00,0.6,1.17562447,241.08
   6:47:00,3,1.17562447,241.68
   6:47:00,0.6,1.17562447,49.1
   6:47:00,0.5,1.11461,40.9
   6:47:00,2,1.05797,41.4
   6:48:00,1.2,1.17562447,33.55
   6:48:00,2,1.17562447,5
   6:48:00,1.5,1.17562447,7
   6:49:00,2,1.17562447,31.55
   6:52:00,0.6,1.17562447,7.19
   6:52:00,2.4,1.17562447,43.45
   6:52:00,1.5,1.17562447,41.95
   6:52:00,1.5,1.17562447,127.7
   6:52:00,2,1.17562447,129.2
   6:53:00,1,1.17562447,79.8
   6:53:00,3.5,1.17562447,207.7
   6:53:00,4,1.17562447,97.66
   6:53:00,2.2,1.17562447,7.3
   6:53:00,2.4,1.17562447,108.1
   6:54:00,2,1.17562447,77.8
   6:54:00,1,1.17562447,127.22
   6:54:00,1,1.17562447,67.3
   6:54:00,2,1.17562447,16
   6:54:00,1,1.17562447,15
   6:54:00,1,1.19409,107.1
   6:55:00,1.2,1.52448,26.95
   6:55:00,0.5,1.25659,26.45
   6:55:00,0.6,1.27177,25.85
   6:55:00,0.5,1.17562447,46.53
   6:55:00,0.6,1.25594,126.62
   6:55:00,2,1.23261,80.9
   6:56:00,0.6,1.17562447,153.9
   6:56:00,4.1,1.17562447,30.4
   6:56:00,1.6,1.17562447,188.9
   6:56:00,1.2,1.47044,7.25
   6:57:00,0.6,1.38797,41.3
   6:57:00,3,1.46141,38.3
   6:57:00,1,1.41519,96.66
   6:57:00,0.6,1.17562447,43.41
   6:57:00,1.2,1.3896,81.8
   6:57:00,1,1.4722,80.8
   6:58:00,2.5,1.34894,151.4
   6:58:00,3,1.43411,40.41
   6:58:00,2,1.43318,37.1
   6:58:00,0.6,1.41635,36.5
   6:58:00,3.5,1.03774,81.1
   6:59:00,4,1.00789,237.08
   6:59:00,4,1.01672,60
   6:59:00,2,0.859828,13.6
   7:00:00,3.5,0.93668,70.9
   7:00:00,1.2,1.01004,83.91
   7:00:00,1,0.973117,87
   7:00:00,1,0.871411,11.1
   7:00:00,3.5,1.39719,57.1
   7:00:00,1.5,1.17562447,55.6
   7:01:00,2.5,1.17562447,36.71
   7:01:00,1,1.17562447,35.71
   7:01:00,1.5,1.17562447,13.3
   7:01:00,0.6,1.38916,14.8
   7:01:00,2,1.17562447,80.71
   7:01:00,1.2,1.06972,82.71
   7:01:00,2,1.06074,67.3
   7:01:00,1.2,1.02778,85.8
   7:01:00,1.7,0.951282,4.65
   7:02:00,3.2,1.17562447,22.75
   7:02:00,0.6,1.17562447,20.5
   7:02:00,2,1.17562447,21.1
   7:02:00,3.5,1.17562447,45.2
   7:02:00,2.5,1.17562447,64.8
   7:02:00,2,1.17562447,63.2
   7:02:00,1,1.17562447,11
   7:02:00,2.5,1.17562447,12
   7:02:00,2,1.17562447,142.8
   7:02:00,0.6,1.17562447,142.2
   7:02:00,2,1.34057,47.6
   7:02:00,1.8,1.18492,49.09
   7:03:00,1.6,1.17562447,49.1
   7:03:00,3,1.17562447,78.6
   7:03:00,3.1,1.17562447,29.29
   7:03:00,3,1.17562447,61.8
   7:03:00,1,1.17562447,62.2
   7:03:00,0.6,1.17562447,61.6
   7:03:00,0.6,1.17562447,10.4
   7:03:00,0.6,1.17562447,47
   7:03:00,2,1.17562447,45.89
   7:03:00,1.2,1.17562447,47.89
   7:03:00,2.5,1.17562447,22
   7:03:00,1,1.48253,75
   7:03:00,1,1.24474,74
   7:03:00,1,1.12895,210.5
   7:03:00,2,1.28038,211.5
   7:03:00,1.6,1.08743,106.9
   7:03:00,1,1.20444,20.91
   7:04:00,3.2,1.03624,85.6
   7:04:00,2.2,1.11717,105.5
   7:04:00,2.6,1.17562447,184.2
   7:04:00,1.5,1.17562447,77.1
   7:04:00,0.6,1.17562447,1.39
   7:04:00,0.6,1.17562447,0.79
   7:04:00,1,1.17562447,99.1
   7:04:00,1.2,1.17562447,97.9
   7:04:00,1.2,1.17562447,111.6
   7:04:00,1.2,1.17562447,3.45
   7:05:00,3,1.17562447,20.5
   7:05:00,1,1.17562447,19.5
   7:05:00,2,1.17562447,73.43
   7:05:00,2.5,1.35077,44.03
   7:05:00,1.5,1.41608,47.6
   7:05:00,6.3,1.17562447,35.9
   7:05:00,1.5,1.17562447,104
   7:05:00,2.5,1.17562447,99.8
   7:05:00,1.5,1.17562447,133.72
   7:05:00,1.2,1.17562447,110.4
   7:05:00,2,1.17562447,11.9
   7:05:00,1.5,1.17562447,65.8
   7:06:00,1.2,1.17562447,72.23
   7:06:00,1.2,1.17562447,6.44
   7:06:00,4,1.17562447,33.5
   7:06:00,1.5,1.28122,75.7
   7:06:00,2,1.3303,54.6
   7:06:00,2,1.17562447,2.66
   7:06:00,2.5,1.29726,131.22
   7:06:00,1.5,1.30251,177.86
   7:06:00,2,1.17562447,6.2
   7:06:00,1,1.17562447,5.2
   7:06:00,0.6,1.17562447,4.6
   7:06:00,0.6,1.17562447,4
